Source,Target,Type,Id,Label,Weight
42462719,2282434887,Undirected,663,,1
42462744,4205909301,Undirected,664,,1
42462744,42493841,Undirected,665,,1
42462873,42513844,Undirected,666,,2
42462873,42498334,Undirected,667,,2
42462875,42462873,Undirected,668,,1
42462875,42526784,Undirected,669,,2
42462879,42462926,Undirected,670,,1
42462879,42462899,Undirected,671,,1
42462899,42462913,Undirected,672,,2
42462926,42480267,Undirected,674,,1
42463007,6939281771,Undirected,675,,2
42463060,1257569595,Undirected,677,,1
42463060,42463202,Undirected,678,,1
42463099,452389379,Undirected,679,,1
42463099,42463060,Undirected,680,,1
42463164,42463099,Undirected,681,,1
42463202,42463164,Undirected,682,,1
42463221,42473397,Undirected,683,,2
42463221,42463222,Undirected,684,,2
42463221,42493955,Undirected,685,,2
42463221,42493952,Undirected,686,,2
42463222,42529115,Undirected,688,,2
42463227,479715838,Undirected,689,,1
42463227,42471739,Undirected,690,,1
42463268,7711430782,Undirected,691,,1
42463268,1893285374,Undirected,692,,1
42463272,4593135559,Undirected,693,,1
42463272,42482424,Undirected,694,,1
42463294,42463657,Undirected,695,,1
42463350,42520729,Undirected,696,,1
42463363,42467904,Undirected,697,,2
42463363,42464292,Undirected,698,,2
42463363,42463374,Undirected,699,,1
42463370,42502909,Undirected,700,,1
42463370,42503829,Undirected,701,,1
42463374,42463370,Undirected,702,,1
42463374,42476532,Undirected,703,,1
42463374,42502920,Undirected,704,,2
42463393,42463398,Undirected,705,,2
42463393,42536765,Undirected,706,,2
42463393,42465868,Undirected,707,,1
42463398,42465667,Undirected,709,,1
42463482,455440534,Undirected,710,,1
42463482,42480208,Undirected,711,,1
42463494,4204835189,Undirected,712,,1
42463529,452396667,Undirected,713,,1
42463529,42463202,Undirected,714,,1
42463609,42466631,Undirected,716,,1
42463609,42464043,Undirected,718,,2
42463626,42480306,Undirected,719,,1
42463651,42488516,Undirected,720,,1
42463651,42483401,Undirected,721,,1
42463657,42519264,Undirected,722,,1
42463657,42471046,Undirected,723,,1
42463694,451661152,Undirected,724,,1
42463694,451663948,Undirected,725,,1
42463727,5006355533,Undirected,726,,2
42463727,4205203589,Undirected,727,,2
42463817,42479555,Undirected,728,,1
42463891,1372888814,Undirected,729,,1
42463965,6720148786,Undirected,730,,1
42463992,6375243314,Undirected,731,,1
42463992,2316047321,Undirected,732,,1
42464043,42484100,Undirected,733,,2
42464043,598357849,Undirected,734,,1
42464054,598622244,Undirected,736,,1
42464067,2922393068,Undirected,737,,2
42464067,42488967,Undirected,738,,1
42464075,42488259,Undirected,739,,2
42464077,42471626,Undirected,740,,2
