Id,accident_count,street_name
42464815,3,"Fulton Street, Grant Avenue"
42464823,0,"Joralemon Street, Boerum Place"
42464824,0,"Pearl Street, Fulton Mall"
42464827,2,"Smith Street, Jay Street, Fulton Mall"
42464832,0,Fulton Mall
42464834,3,"Hoyt Street, Fulton Mall"
42464836,1,Fulton Mall
42464838,0,Fulton Mall
42464844,1,"Fulton Mall, Bond Street"
42464847,0,Fulton Mall
42464848,1,"Flatbush Avenue, Fulton Street"
42464852,1,"Fulton Street, Hudson Avenue"
42464854,1,"Fulton Street, Rockwell Place"
42464855,1,"Fulton Street, Ashland Place"
42464856,1,"Fulton Street, Saint Felix Street"
42464859,3,"Fulton Street, Fort Greene Place"
42464861,2,"Fulton Street, Lafayette Avenue"
42464864,0,"Fulton Street, South Elliott Place"
42464866,5,"Fulton Street, South Portland Avenue"
42464871,1,"South Oxford Street, Fulton Street"
42464905,1,"Fulton Street, Greene Avenue"
42464918,1,"Fulton Street, Cumberland Street"
42464923,0,"Carlton Avenue, Fulton Street"
42464925,0,Fulton Street
42464929,7,"Clermont Avenue, Fulton Street"
42464932,8,"Fulton Street, Vanderbilt Avenue"
42464934,1,"Fulton Street, Clinton Avenue"
42464936,3,"Fulton Street, Waverly Avenue"
42464938,5,"Washington Avenue, Fulton Street"
42464941,2,"Saint James Place, Fulton Street"
42464945,0,"Fulton Street, Cambridge Place"
42464948,2,"Fulton Street, Grand Avenue"
42464953,1,"Irving Place, Fulton Street"
42464955,3,"Classon Avenue, Fulton Street"
42464958,3,"Fulton Street, Claver Place"
42464960,2,"Franklin Avenue, Fulton Street"
42464964,0,Fulton Street
42464967,8,"Bedford Avenue, Fulton Street"
42464972,1,Fulton Street
42464975,11,"Fulton Street, Nostrand Avenue"
42464977,3,"Fulton Street, Verona Place"
42464979,3,Fulton Street
42464982,2,"Marcy Avenue, Fulton Street"
42464985,10,"Fulton Street, Brooklyn Avenue"
42464988,3,Fulton Street
42464995,1,"Throop Avenue, Fulton Street"
42464999,2,"Fulton Street, Albany Avenue"
42465002,7,Fulton Street
42465008,1,"Lewis Avenue, Fulton Street"
42465011,1,"Lewis Avenue, Fulton Street"
42465016,5,"Schenectady Avenue, Fulton Street"
42465019,0,"Fulton Street, Malcolm X Boulevard, Utica Avenue"
42465024,1,"Rochester Avenue, Fulton Street"
42465027,2,Fulton Street
42465030,1,"Fulton Street, Patchen Avenue"
42465033,2,"Fulton Street, Buffalo Avenue"
42465036,1,Fulton Street
42465040,3,"Fulton Street, Ralph Avenue"
42465043,2,"Fulton Street, Howard Avenue"
42465047,0,Fulton Street
42465054,4,"Fulton Street, Saratoga Avenue"
42465062,1,"Thomas S. Boyland Street, Fulton Street"
42465069,2,Fulton Street
42465072,3,"Fulton Street, Rockaway Avenue"
42465075,0,Fulton Street
42465076,1,"Eastern Parkway, Fulton Street"
42465078,0,"Fulton Street, Sackman Street"
42465082,3,"Fulton Street, Van Sinderen Avenue"
42465084,0,"Fulton Street, Broadway"
42465094,0,Tennis Court
42465096,0,"East 19th Street, Albemarle Road"
42465099,0,"Beverley Road, East 19th Street"
42465102,0,"Cortelyou Road, East 19th Street"
42465104,1,"Dorchester Road, East 19th Street"
42465105,2,"Ditmas Avenue, East 19th Street"
42465107,0,"Newkirk Avenue, East 19th Street"
42465114,0,"East 19th Street, Glenwood Road"
42465117,0,"Avenue H, East 19th Street"
42465128,0,"Avenue I, East 19th Street"
42465132,1,"East 19th Street, Avenue J"
42465135,1,"East 19th Street, Avenue K"
42465138,0,"East 19th Street, Avenue L"
42465141,0,"Avenue M, East 19th Street"
42465143,0,"East 19th Street, Bay Avenue"
42465145,0,"Avenue N, East 19th Street"
42465147,0,"East 19th Street, Avenue O"
42465151,3,"East 19th Street, Avenue P"
42465156,0,"East 19th Street, Kings Highway"
42465158,3,"Quentin Road, East 19th Street"
42465162,2,"Avenue R, East 19th Street"
42465165,2,"East 19th Street, Avenue S"
42465170,1,"East 19th Street, Avenue T"
42465173,4,"Avenue U, East 19th Street"
42465176,1,"East 19th Street, Avenue V"
42465179,0,"East 19th Street, Gravesend Neck Road"
42465181,0,"East 19th Street, Avenue W"
42465191,1,"East 19th Street, Avenue Y"
42465194,1,"East 19th Street, Avenue Z"
42465196,0,"Jerome Avenue, East 19th Street"
42465198,1,"Voorhies Avenue, East 19th Street"
42465201,0,"East 19th Street, Shore Parkway"
42465208,0,"East 19th Street, Shore Parkway"
42465210,0,"Emmons Avenue, East 19th Street"
42465221,2,"Church Avenue, East 19th Street, Saint Pauls Place"
42465223,0,East 19th Street
42465230,4,"Atlantic Avenue, Fort Greene Place"
42465233,5,"Flatbush Avenue, 5th Avenue"
42465234,3,"5th Avenue, Dean Street"
42465236,2,"Bergen Street, 5th Avenue"
42465238,1,"Saint Marks Avenue, 5th Avenue"
42465246,1,"5th Avenue, Warren Street"
42465250,2,"5th Avenue, Park Place"
42465257,0,"Saint Johns Place, 5th Avenue"
42465260,1,"5th Avenue, Degraw Street"
42465262,3,"5th Avenue, Berkeley Place"
42465265,3,"President Street, 5th Avenue"
42465267,0,"5th Avenue, Carroll Street"
42465270,0,"5th Avenue, Garfield Place"
42465273,1,"1st Street, 5th Avenue"
42465276,1,"5th Avenue, 2nd Street"
42465279,0,"5th Avenue, 3rd Street"
42465281,2,"5th Avenue, 4th Street Plaza"
42465284,1,"5th Avenue, 5th Street"
42465288,1,"5th Avenue, 6th Street"
42465292,1,"5th Avenue, 7th Street"
42465294,5,"5th Avenue, 8th Street"
42465296,0,"5th Avenue, 9th Street"
42465298,3,"5th Avenue, 10th Street"
42465301,0,"5th Avenue, 11th Street"
42465305,1,"5th Avenue, 12th Street"
42465309,1,"5th Avenue, 13th Street"
42465312,1,"14th Street, 5th Avenue"
42465315,1,"15th Street, 5th Avenue"
42465318,2,"5th Avenue, 16th Street"
42465322,1,"5th Avenue, Prospect Avenue"
42465328,1,"5th Avenue, 17th Street"
42465332,0,"5th Avenue, 18th Street"
42465336,0,"19th Street, 5th Avenue"
42465340,0,"5th Avenue, 20th Street"
42465343,2,"21st Street, 5th Avenue"
